"","species","centroid.distance","I.obs","I.res.s","I.res.w","p.similar","migStatus"
"21","Amazilia cyanocephala",30777.2930315231,0.460962440540692,0.466386965632337,0.459818475739943,0.0594059405940594,"1"
"22","Amazilia cyanura",50744.7051281746,0.386307702573705,0.446492294789917,0.403231190337641,0.0198019801980198,"1"
"23","Amazilia decora",23269.2731973885,0.50398365179609,0.612451799266699,0.573235427032303,0.0198019801980198,"1"
"24","Amazilia edward",27144.0358251545,0.447495727081466,0.48689726546831,0.487384406834119,0.198019801980198,"1"
"25","Amazilia fimbriata",591791.63646192,0.590687237482574,0.60619614367786,0.602360989205469,0.0198019801980198,"1"
"26","Amazilia franciae",115636.413301434,0.702513089625058,0.821210935539288,0.715565019079465,0.0198019801980198,"1"
"27","Amazilia grayi",NA,NA,NA,NA,NA,"1"
"28","Amazilia humboldtii",NA,NA,NA,NA,NA,"1"
"29","Amazilia lactea",502922.776068209,0.459860272881622,0.468527456195956,0.531569304658435,0.257425742574257,"1"
"30","Amazilia leucogaster",NA,NA,NA,NA,NA,"1"
"31","Amazilia luciae",NA,NA,NA,NA,NA,"1"
"32","Amazilia rosenbergi",17736.7137172526,0.713234449001044,0.73181009142343,0.6811040971021,0.0198019801980198,"1"
"33","Amazilia rutila",133741.536029821,0.421283462888913,0.444840399531915,0.481714310324685,0.0198019801980198,"1"
"34","Amazilia sapphirina",NA,NA,NA,NA,NA,"1"
"35","Amazilia saucerottei",NA,NA,NA,NA,NA,"1"
"36","Amazilia saucerrottei",196344.962770919,0.542032313044253,0.625796857608252,0.522426383210891,0.0198019801980198,NA
"37","Amazilia tobaci",95942.5923224628,0.67790569694124,0.701874856955674,0.735554637736358,0.0198019801980198,"1"
"38","Amazilia tzacatl",8183.81434850667,0.660263047146784,0.66421045875889,0.681864980967934,0.0198019801980198,"1"
"39","Amazilia versicolor",495361.458710504,0.584291098883893,0.603423107488953,0.600262511405889,0.0198019801980198,"1"
"40","Amazilia violiceps",710221.026387063,0.43829090235925,0.460786786636485,0.483715066506535,0.0594059405940594,"2"
"41","Amazilia viridicauda",21658.1609448293,0.541226607835309,0.584090610479555,0.585025309291639,0.0792079207920792,"1"
"42","Amazilia viridifrons",76286.8445212524,0.447306601533982,0.486730353009689,0.471392331353252,0.0198019801980198,"1"
"43","Amazilia viridigaster",NA,NA,NA,NA,NA,"1"
"44","Amazilia wagneri",NA,NA,NA,NA,NA,"1"
"45","Amazilia yucatanensis",135983.69917955,0.382754170317409,0.404855979136389,0.382295270239476,0.435643564356436,"2"
"46","Androdon aequatorialis",NA,NA,NA,NA,NA,"1"
"47","Anopetia gounellei",NA,NA,NA,NA,NA,"1"
"48","Anthocephala floriceps",NA,NA,NA,NA,NA,"1"
"49","Anthracothorax aurulentus",NA,NA,NA,NA,NA,"1"
"50","Anthracothorax dominicus",18875.3445378478,0.678148487239706,0.731551208137447,0.762426027642942,0.0198019801980198,"1"
"51","Anthracothorax mango",22121.1049142745,0.582804887051096,0.612558455062138,0.756356327249789,0.0792079207920792,"1"
"52","Anthracothorax nigricollis",251420.808410409,0.618432395153225,0.630951591897926,0.65603157926781,0.0198019801980198,"1"
"53","Anthracothorax prevostii",161865.468155665,0.58592845849322,0.632380504962827,0.59764837523471,0.0198019801980198,"1"
"54","Anthracothorax veraguensis",NA,NA,NA,NA,NA,"1"
"55","Anthracothorax viridigula",62590.6546577424,0.595323910338756,0.637112727565779,0.799480670296616,0.0198019801980198,"1"
"56","Anthracothorax viridis",7561.49728081908,0.63165550334092,0.684094581447244,0.742552455555194,0.0198019801980198,"1"
"57","Aphantochroa cirrochloris",196745.34793226,0.39539015586587,0.449663775019748,0.485638566941954,0.930693069306931,"1"
"58","Archilochus alexandri",1616911.71223439,0.652779747203559,0.592914850578089,0.427451899423582,0.0396039603960396,"3"
"59","Archilochus colubris",1560050.97315661,0.538862615754854,0.36925792111971,0.482781653448038,0.297029702970297,"3"
"60","Atthis ellioti",NA,NA,NA,NA,NA,"1"
"61","Atthis heloisa",185798.117642056,0.445465893091107,0.468894663332633,0.451050350590716,0.495049504950495,"1"
"62","Augastes lumachella",NA,NA,NA,NA,NA,"1"
"63","Augastes scutatus",NA,NA,NA,NA,NA,"1"
"64","Avocettula recurvirostris",NA,NA,NA,NA,NA,"1"
"65","Basilinna leucotis",NA,NA,NA,NA,NA,"1"
"66","Basilinna xantusii",NA,NA,NA,NA,NA,"1"
"67","Boissonneaua flavescens",43365.7057427451,0.669131677627963,0.774235103060906,0.70495978052954,0.0198019801980198,"1"
"68","Boissonneaua jardini",40717.2264507532,0.748280491053258,0.781079841545913,0.778305897477586,0.0198019801980198,"1"
"69","Boissonneaua matthewsii",171081.937996958,0.457003543028931,0.548305372319237,0.52753170072673,0.118811881188119,"1"
"70","Calliphlox amethystina",534873.57495275,0.553604535557603,0.555583071545083,0.588442844997377,0.0198019801980198,"1"
"71","Calliphlox bryantae",38849.7778232178,0.429070206231158,0.520726447093228,0.684399341623358,0.316831683168317,"1"
"72","Calliphlox evelynae",127691.923836573,0.510120665577617,0.537812513649908,0.569825310706015,0.0594059405940594,"1"
"73","Calliphlox mitchellii",68246.2829074012,0.784139971323286,0.816117870062655,0.760215241401476,0.0198019801980198,"1"
"74","Calothorax lucifer",1070886.4334006,0.490722619174382,0.462780403935804,0.463785825157662,0.0198019801980198,"2"
"75","Calothorax pulcher",NA,NA,NA,NA,NA,"1"
"76","Calypte anna",45472.4671191945,0.664993655728386,0.67897488236359,0.646193700890537,0.0792079207920792,"2"
"77","Calypte costae",236219.755390206,0.674692034834648,0.638256388210085,0.669963869919856,0.0198019801980198,"2"
"78","Campylopterus curvipennis",73349.7240897878,0.594596871272824,0.59843622726269,0.535440269593087,0.0198019801980198,"1"
"79","Campylopterus cuvierii",NA,NA,NA,NA,NA,"1"
"80","Campylopterus duidae",NA,NA,NA,NA,NA,"1"
"81","Campylopterus ensipennis",7924.52884855725,0.766535175579873,0.757675320570197,0.776295117060566,0.0198019801980198,"1"
"82","Campylopterus excellens",4095.54272242213,0.511648114845271,0.602422956449831,0.567399186816245,0.0198019801980198,NA
"83","Campylopterus falcatus",337514.976216017,0.405817875572566,0.517513951176702,0.432282955599499,0.0396039603960396,"1"
"84","Campylopterus hemileucurus",101711.46444806,0.540531176835401,0.545376222766671,0.562093794567222,0.0198019801980198,"1"
"85","Campylopterus hyperythrus",NA,NA,NA,NA,NA,"1"
"86","Campylopterus largipennis",637221.889475034,0.686206764735613,0.646729586382667,0.748683001256039,0.0198019801980198,"1"
"87","Campylopterus phainopeplus",NA,NA,NA,NA,NA,"3"
"88","Campylopterus rufus",89014.5266916234,0.398918468408597,0.381363944896823,0.378375178428414,0.396039603960396,"1"
"89","Campylopterus villaviscensio",90912.7057305833,0.363485209670532,0.358513706866649,0.327997216147821,0.0198019801980198,"1"
"90","Chaetocercus astreans",NA,NA,NA,NA,NA,"1"
"91","Chaetocercus berlepschi",NA,NA,NA,NA,NA,"1"
"92","Chaetocercus bombus",256753.261466482,0.522919561790338,0.704754553685653,0.697687883836503,0.0198019801980198,"1"
"93","Chaetocercus heliodor",62299.8920791986,0.449529814080906,0.466508962156298,0.458641602114623,0.0198019801980198,"1"
